iso3,year,value,indicator description,indicator code
GAB,2002,2.9149417003024123,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,2002,3.4422584194882444,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,2002,2.182486937949668,WDI-calculated corruption score share of 148,CC.EST calculated
GMB,2002,3.7673307540675673,WDI-calculated corruption score share of 148,CC.EST calculated
GNB,2002,1.3595097184406402,WDI-calculated corruption score share of 148,CC.EST calculated
GNQ,2002,0.8289879800422634,WDI-calculated corruption score share of 148,CC.EST calculated
KEN,2002,1.4796594446996216,WDI-calculated corruption score share of 148,CC.EST calculated
LBR,2002,1.3889823027572392,WDI-calculated corruption score share of 148,CC.EST calculated
LBY,2002,1.6563862818821449,WDI-calculated corruption score share of 148,CC.EST calculated
LSO,2002,3.9435998198550166,WDI-calculated corruption score share of 148,CC.EST calculated
MAR,2002,3.747298277833624,WDI-calculated corruption score share of 148,CC.EST calculated
MDG,2002,4.463742522907525,WDI-calculated corruption score share of 148,CC.EST calculated
MLI,2002,2.308552383860726,WDI-calculated corruption score share of 148,CC.EST calculated
MOZ,2002,2.978026456812995,WDI-calculated corruption score share of 148,CC.EST calculated
MRT,2002,4.2135567837672445,WDI-calculated corruption score share of 148,CC.EST calculated
MUS,2002,5.436173541607831,WDI-calculated corruption score share of 148,CC.EST calculated
MWI,2002,1.4266068106990972,WDI-calculated corruption score share of 148,CC.EST calculated
NAM,2002,4.798679065936597,WDI-calculated corruption score share of 148,CC.EST calculated
NER,2002,1.4299649218338377,WDI-calculated corruption score share of 148,CC.EST calculated
NGA,2002,0.0,WDI-calculated corruption score share of 148,CC.EST calculated
RWA,2002,2.333886530701638,WDI-calculated corruption score share of 148,CC.EST calculated
SDN,2002,1.3844267119167117,WDI-calculated corruption score share of 148,CC.EST calculated
SEN,2002,5.196243014074605,WDI-calculated corruption score share of 148,CC.EST calculated
SLE,2002,2.1159593830387253,WDI-calculated corruption score share of 148,CC.EST calculated
SOM,2002,1.393014726289108,WDI-calculated corruption score share of 148,CC.EST calculated
SSD,2002,,WDI-calculated corruption score share of 148,CC.EST calculated
STP,2002,5.164811118631363,WDI-calculated corruption score share of 148,CC.EST calculated
SWZ,2002,4.281535316041543,WDI-calculated corruption score share of 148,CC.EST calculated
SYC,2002,6.522935841884658,WDI-calculated corruption score share of 148,CC.EST calculated
TCD,2002,0.6881731450917175,WDI-calculated corruption score share of 148,CC.EST calculated
TGO,2002,2.209163338129141,WDI-calculated corruption score share of 148,CC.EST calculated
TUN,2002,5.3023552729784695,WDI-calculated corruption score share of 148,CC.EST calculated
TZA,2002,1.9631200182786879,WDI-calculated corruption score share of 148,CC.EST calculated
UGA,2002,1.414367598228788,WDI-calculated corruption score share of 148,CC.EST calculated
ZAF,2002,5.448598588203327,WDI-calculated corruption score share of 148,CC.EST calculated
ZMB,2002,2.207828341170707,WDI-calculated corruption score share of 148,CC.EST calculated
ZWE,2002,1.0253279277828717,WDI-calculated corruption score share of 148,CC.EST calculated
AGO,2003,0.5728325724950872,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,2003,1.9564161018632626,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,2003,2.845901602574627,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,2003,4.255755111839824,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,2003,8.312038539925043,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,2003,1.5167818562841318,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,2003,1.5374457724068655,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,2003,1.6349319396888895,WDI-calculated corruption score share of 148,CC.EST calculated
COD,2003,0.0,WDI-calculated corruption score share of 148,CC.EST calculated
COG,2003,1.3086278060074457,WDI-calculated corruption score share of 148,CC.EST calculated
COM,2003,2.4973162290472914,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,2003,6.014722614754984,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,2003,2.633048071140104,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,2003,2.43302211390219,WDI-calculated corruption score share of 148,CC.EST calculated
EGY,2003,2.9863727913265774,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,2003,4.432745110935343,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,2003,2.2465658012460885,WDI-calculated corruption score share of 148,CC.EST calculated
GAB,2003,2.9173030394023236,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,2003,3.6441711715437815,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,2003,1.9121821997113246,WDI-calculated corruption score share of 148,CC.EST calculated
GMB,2003,4.048714882217193,WDI-calculated corruption score share of 148,CC.EST calculated
GNB,2003,1.1970877087489145,WDI-calculated corruption score share of 148,CC.EST calculated
GNQ,2003,0.7513660189980454,WDI-calculated corruption score share of 148,CC.EST calculated
KEN,2003,1.6850927513929783,WDI-calculated corruption score share of 148,CC.EST calculated
LBR,2003,1.123842447793767,WDI-calculated corruption score share of 148,CC.EST calculated
LBY,2003,1.9193106161434852,WDI-calculated corruption score share of 148,CC.EST calculated
LSO,2003,4.0682772680590205,WDI-calculated corruption score share of 148,CC.EST calculated
MAR,2003,3.6185473971213167,WDI-calculated corruption score share of 148,CC.EST calculated
MDG,2003,3.9530800026710318,WDI-calculated corruption score share of 148,CC.EST calculated
MLI,2003,2.3446428002850555,WDI-calculated corruption score share of 148,CC.EST calculated
MOZ,2003,2.6521624170149543,WDI-calculated corruption score share of 148,CC.EST calculated
MRT,2003,4.3552471127136405,WDI-calculated corruption score share of 148,CC.EST calculated
MUS,2003,5.156909629135441,WDI-calculated corruption score share of 148,CC.EST calculated
MWI,2003,2.3023444307904444,WDI-calculated corruption score share of 148,CC.EST calculated
NAM,2003,5.146000336381472,WDI-calculated corruption score share of 148,CC.EST calculated
NER,2003,1.8296464892624515,WDI-calculated corruption score share of 148,CC.EST calculated
NGA,2003,0.32632290443316436,WDI-calculated corruption score share of 148,CC.EST calculated
RWA,2003,2.812896900416917,WDI-calculated corruption score share of 148,CC.EST calculated
