Country,iso3,year,value,indicator code,indicator description
Lesotho,LSO,2013,,FSI,Financial Secrecy Index
Lithuania,LTU,2013,,FSI,Financial Secrecy Index
Luxembourg,LUX,2013,1454.483,FSI,Financial Secrecy Index
Latvia,LVA,2013,128.1165,FSI,Financial Secrecy Index
Macao,MAC,2013,360.4904,FSI,Financial Secrecy Index
St. Martin,MAF,2013,,FSI,Financial Secrecy Index
Morocco,MAR,2013,,FSI,Financial Secrecy Index
Monaco,MCO,2013,38.84132,FSI,Financial Secrecy Index
Moldova,MDA,2013,,FSI,Financial Secrecy Index
Madagascar,MDG,2013,,FSI,Financial Secrecy Index
Maldives,MDV,2013,21.05039,FSI,Financial Secrecy Index
Mexico,MEX,2013,,FSI,Financial Secrecy Index
Marshall Islands,MHL,2013,329.6054,FSI,Financial Secrecy Index
North Macedonia,MKD,2013,,FSI,Financial Secrecy Index
Mali,MLI,2013,,FSI,Financial Secrecy Index
Malta,MLT,2013,78.0526,FSI,Financial Secrecy Index
Myanmar,MMR,2013,,FSI,Financial Secrecy Index
Montenegro,MNE,2013,,FSI,Financial Secrecy Index
Mongolia,MNG,2013,,FSI,Financial Secrecy Index
Northern Mariana Islands,MNP,2013,,FSI,Financial Secrecy Index
Mozambique,MOZ,2013,,FSI,Financial Secrecy Index
Mauritania,MRT,2013,,FSI,Financial Secrecy Index
Montserrat,MSR,2013,0.0,FSI,Financial Secrecy Index
Martinique,MTQ,2013,,FSI,Financial Secrecy Index
Mauritius,MUS,2013,397.8627,FSI,Financial Secrecy Index
Malawi,MWI,2013,,FSI,Financial Secrecy Index
Malaysia,MYS,2013,471.6878,FSI,Financial Secrecy Index
Mayotte,MYT,2013,,FSI,Financial Secrecy Index
Namibia,NAM,2013,,FSI,Financial Secrecy Index
New Caledonia,NCL,2013,,FSI,Financial Secrecy Index
Niger,NER,2013,,FSI,Financial Secrecy Index
Norfolk Island,NFK,2013,,FSI,Financial Secrecy Index
Nigeria,NGA,2013,,FSI,Financial Secrecy Index
Nicaragua,NIC,2013,,FSI,Financial Secrecy Index
Niue,NIU,2013,,FSI,Financial Secrecy Index
Netherlands,NLD,2013,204.929,FSI,Financial Secrecy Index
Norway,NOR,2013,142.7945,FSI,Financial Secrecy Index
Nepal,NPL,2013,,FSI,Financial Secrecy Index
Nauru,NRU,2013,0.0,FSI,Financial Secrecy Index
New Zealand,NZL,2013,151.4267,FSI,Financial Secrecy Index
Oman,OMN,2013,,FSI,Financial Secrecy Index
Pakistan,PAK,2013,,FSI,Financial Secrecy Index
Panama,PAN,2013,489.6098,FSI,Financial Secrecy Index
