economy,Year,Value,Indicator,IndicatorID
UGA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZAF,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZMB,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZWE,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
AGO,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BDI,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BEN,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BFA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BWA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CAF,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CIV,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CMR,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COD,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COG,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COM,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CPV,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DJI,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DZA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
EGY,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ERI,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ETH,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GAB,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GHA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GIN,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GMB,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNB,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNQ,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
KEN,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBR,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBY,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LSO,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MAR,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MDG,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MLI,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MOZ,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MRT,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MUS,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MWI,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NAM,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NER,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NGA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
RWA,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SDN,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SEN,1964,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
