country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,cthi_2019_score,cthi_2021_score,cthi_2019_rank,cthi_2021_rank,cthi_2019_share,cthi_2021_share,sotj20_loss_corp_musd,sotj21_loss_corp_musd,sotj23_loss_corp_musd,sotj20_loss_total_share_healthexpenses,sotj21_loss_total_share_healthexpenses,sotj23_loss_total_musd,sotj23_loss_total_share_healthexpenses
Jamaica,JAM,,,,,,,,,,,,,20.27280084587977,0.00012975,89.5,0.0559620956146127,0.2753713593455267,97.1974892616272,0.1569735562610293
Jersey,JEY,750.1455758,591.7031,354.0404,438.2174,466.8129505,458.502664879157,98.33333333333334,100,7,8,0.0405811960902188,0.0389470082089178,6.077029547044922,0.000102200001533,0.0,,,1411.52880859375,
Jordan,JOR,,,,,260.3940199,170.42080332232,,,,,,,87.00000097499999,0.000071200001068,69.8,0.0815308608431029,0.0833115614914638,120.7905166625977,0.0726960386130781
Japan,JPN,693.6381377,513.1047,418.3741,623.9166,695.5945925,764.994509813845,,,,,,,4310.693600604324,0.0100939976616719,3387.385973930358,0.0211044414497156,0.0329077644295203,8319.468981742859,0.0179292842614729
Kazakhstan,KAZ,,,,,82.30435033,146.852451402802,,,,,,,191.5309462828883,0.000169800002547,117.8,0.073207160237707,0.0578750788683767,183.3388107299805,0.0575058056795737
Kenya,KEN,,,,378.3477,398.1913655,281.572610479911,50.830757145923805,49.70798213959706,58,63,0.0015920854229162,0.0014053004066381,502.4689668458002,0.000495900019836,134.1000053286553,0.3601782533895954,0.3730778580229386,189.8456031680107,0.0945643603756435
Kyrgyz Republic,KGZ,,,,,,,,,,,,,10.600000106,0.000007600000076000001,0.3,0.0668215944136854,0.0568646451276618,5.533579158782959,0.0239024603559536
Cambodia,KHM,,,,,,,,,,,,,7.199819747410013,0.000120200001803,243.0,0.0789386707692889,0.5469234889602295,257.7541103363037,0.8182164272419847
Kiribati,KIR,,,,,,,,,,,,,0.0,,0.0,0.0136138695063548,0.0099949914861248,0.2210721969604492,0.012175307973514
St. Kitts and Nevis,KNA,31.16919967,18.45872,68.42789,152.5491,162.2543025,168.320986983207,,,,,,,0.990000039,0.000000330000013,0.0,0.0506073828037776,0.0700717511639262,0.8348432779312134,0.031374586124073
South Korea,KOR,317.1874912,328.7934,124.2812,314.0573,411.058924,498.628333783005,,,,,,,3416.07312078022,0.000060719999724,264.8250057399273,0.0655846946742943,0.0077503366071403,685.0639278590679,0.0089841129777882
Kuwait,KWT,,,,,369.1707737,334.388742381677,,,,,,,29.178454138532548,0.0,32.85,0.0069446702393849,0.0,32.85,0.0054011781153519
Laos,LAO,,,,,,,,,,,,,84.60615855860246,0.000036719999235000006,29.52,0.8098730620222354,0.3338306965430138,31.50623824119568,0.1997955119073302
Lebanon,LBN,397.3275649,747.8594,760.211,644.4132,385.5245651,149.046428743194,72.8426338367619,75.09693473951488,38,43,0.0058059851497661,0.0050095682038878,0.1443027372386782,0.000018000000719999998,16.5,0.0737681964805124,0.1069172829072806,141.2597579956055,0.0615795933859341
Liberia,LBR,316.8840234,300.8851,218.2189,277.2883,77.58983749,286.164216330279,48.95578231259047,67.70578231292518,57,46,0.0018772759900636,0.0042238519377929,0.0,,37.75,5.953690964538684,4.274128538027071,205.7955780029297,3.546054325121686
Libya,LBY,,,,,,,,,,,,,1.600000024,0.000047600000714,9.6,0.0302389835798542,,58.17490158081055,0.0123156937835184
St. Lucia,LCA,78.7209814,66.89086,51.67438,21.52323,12.25216126,32.5936701981612,,,,,,,2.400000096,0.0,0.0,0.1922065945695241,0.1825628649729693,6.05898904800415,0.141725982277015
Liechtenstein,LIE,239.214042,240.963,202.3737,240.8588,229.6776321,217.465241935676,69.50760261142857,70.6938725452554,37,35,0.0059016348711684,0.0065843630940822,0.0,0.000054875,40.5,,,95.4038314819336,0.2314227946944539
Sri Lanka,LKA,,,,,290.6386989,241.131858731254,,,,,,,97.35198041010312,0.00006720000023999999,406.5600000000001,0.0793408837853317,0.0597660322445927,413.248630104065,0.2831699298937078
Lesotho,LSO,,,,,,,,,,,,,278.4281021660289,0.00000025,1.25,2.133439166354194,0.0053706632278386,1.982756733894348,0.0144053827978673
Lithuania,LTU,,,,58.74935,89.82748835,96.6036985329499,54.826730763952376,56.5720390266359,52,54,0.0028106073690754,0.0027681849452657,90.65297280261396,0.00007785000311399999,104.2500041425228,0.0493347454590061,0.0431921213702947,113.282990783453,0.0487191218107817
Luxembourg,LUX,1621.157151,1454.483,816.9902,975.9181,849.3599776,803.665284815707,72.43592522038095,73.97270319828087,6,6,0.0472531752392816,0.0409975403047952,551.3543103636425,0.002768659138656,1365.525037050247,3.606079799574837,4.460292794440257,11183.48597455025,3.509006877473985
Latvia,LVA,88.8864986,128.1165,92.78296,195.6474,182.8323824,112.707140386812,68.12597400057142,73.12027004066293,41,42,0.0051730873033055,0.005406944381604,36.33894655547046,0.00003540000141599999,63.80000095069408,0.0627806819277438,0.0663898130865911,91.73095874488354,0.0720881772817615
Macao,MAC,389.7947257,360.4904,420.1752,424.9164,356.5284554,341.316487827463,56.6510633004381,58.1221838370116,46,47,0.0037991640520437,0.0039246146620259,348.78888620139656,0.000004319999892,54.83999877423049,,,108.1611352488399,0.0317612748439916
St. Martin,MAF,,,,,,,,,,,,,0.0,,14.35,,,14.35,
Morocco,MAR,,,,,157.4906161,146.481576141836,,,,,,,451.6115845755471,0.000806930005206,919.46,0.20235416277171,0.3559005761913421,982.5372666931152,0.3613599067168708
Monaco,MCO,37.73045046,38.84132,53.66951,82.93153,79.8978613,66.1207661704564,67.5580464000762,67.38211343262877,40,44,0.0054487634231295,0.0046440653151356,0.4248258457360693,0.0,0.0,0.003918748377974,0.0,0.0,
Moldova,MDA,,,,,,,,,,,,,28.439999289,0.000029039999274,21.12,0.0692307851223434,0.0775391598493883,21.93344228982925,0.0513483373122197
Madagascar,MDG,,,,,,,,,,,,,63.66446526611457,0.000065200000978,2.2,0.267715265749436,0.2870960173304861,13.02882404327393,0.0553268941372946
